Subject,Start Date,Start Time,End Time,All Day Event,Private
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",07/01/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",07/01/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (16) 5к/128лаб",07/02/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 903 п/п. (16) 5к/128лаб",07/02/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",07/02/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (17) 5к/315сспд",07/04/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",07/05/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",07/05/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 п/п. (17) 5к/105it",07/06/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",07/06/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",07/06/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",07/06/2022,4:00 PM,5:30 PM,false,false
"Системное администрирование операционных систем 903 п/п. (17) 5к/315сспд",07/08/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",07/09/2022,9:00 AM,10:30 AM,false,false
"Языки программирования 913 п/п. (4) 5к/128лаб",07/09/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",07/11/2022,10:45 AM,12:15 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",07/11/2022,12:30 PM,2:00 PM,false,false
"Программирование: языки, методы и технологии" 911 п/п. (2) 5к/128лаб",07/11/2022,4:00 PM,5:30 PM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",07/12/2022,9:00 AM,10:30 AM,false,false
"Программирование: языки, методы и технологии" 912 п/п. (2) 5к/126пол",07/12/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 п/п. (18) 5к/105it",07/14/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 903 п/п. (18) 5к/105it",07/14/2022,10:45 AM,12:15 PM,false,false
"Языки программирования 913 к/р. (4) 5к/128лаб",07/15/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 Консультация 2к/107",07/19/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 Экзамен 2к/107",07/20/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 1004 Экзамен 2к/107",07/20/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 1004 Экзамен 2к/107",07/20/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 Консультация 5к/105it",07/25/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 903 Экзамен 5к/315сспд",07/27/2022,9:00 AM,10:30 AM,false,false
"Системное администрирование операционных систем 903 Экзамен 5к/315сспд",07/27/2022,10:45 AM,12:15 PM,false,false
"Системное администрирование операционных систем 903 Экзамен 5к/315сспд",07/27/2022,12:30 PM,2:00 PM,false,false
"Системное администрирование операционных систем 903 Экзамен 5к/315сспд",07/27/2022,4:00 PM,5:30 PM,false,false
